"lookup_firm","mean_i2017y"
"Magnolia Solar",0.375
"MAHLE",1.93255131964809
"Mainstream Engineering Corp",11.6705882352941
"Mallinckrodt",18.0770348837209
"Manta Instruments",0
"MANUFACTURING RESOURCES",4
"Marathon Equipment Company",6.625
"Marine Biotech",1
"Marine Polymer Technologies",15.5
"Markel",12.679012345679
"Masimo Semiconductor",78.3333333333333
"Materia",9.58064516129032
"MATERIALS ANALYSIS TECHNOLOGY (US) CORP",0.666666666666667
"Matrix Genetics",1
"Matrix Odyssey",0
"Mattson Technology",16.987012987013
"Maxim Integrated Products",6.58498435870699
"MAXLINEAR",0.979310344827586
"Maxout Renewables",0.833333333333333
"MBC Ventures",16.0909090909091
"McAlister Technologies",3.875
"McElroy Manufacturing",5.27777777777778
"MCI",17.7290836653386
"Medgenics Medical Israel",4.42857142857143
"Mediatek",2.03782894736842
"Medical Diagnostic Laboratories",0.409836065573771
"Medicis Pharmaceutical",3.11475409836066
"MEDport",9.66666666666667
