"lookup_firm","mean_cd2017y"
"Ivoclar Vivadent AG",-0.00230391214574899
"J E WHITE",0
"JAC Products",0.024864248
"Janssen Biotech",0.0106268561239669
"JFE STEEL",0.109561980897436
"JNC",0.125780090286299
"Johns Manville",0.0289322467293233
"Johnson & Johnson Consumer Companies",0.0170453731494662
"Johnson &#x26; Johnson Vision Care",0.0408479822363636
"Johnson Controls Technology Company",0.0203206804464646
"Johnson Matthey PLC",0.0725592767073171
"JOLED",0.0547878173089701
"Joule Unlimited Technologies",-0.0504732192307692
"JSI Equipment Solutions",0.0555555
"JSR",0.118853747437934
"JX Nippon Mining & Metals",0.00939696192913386
"k-Space Associates",0.038717885
"Kabushiki Kaisha Eighting",0.166453341153846
"Kabushikikaisha Toshiba",0.107749073329347
"KAI Pharmaceuticals",0.00932311136363636
"Kajima",0.257759364014085
"Kala Pharmaceuticals",-0.0542031052631579
"Kamtec",0.13654667826087
"Kaneka",0.104358914168126
"Kansai Paint Co",0.171597822766323
"Kansei",0.0955914848837209
"Kao",0.135236970467267
"Karsten Manufacturing",-0.0143053099404762
"Kashiv Pharma",0
"Kawasaki Jukogyo Kabushiki Kaisha",0.164996421698337
"Kemira OY",0.0794028527702703
"Kerr",0.0183149481609195
"Kia Motors",0.0566891732794944
"Kimberly-Clark Worldwide",-0.00383086190348458
"Kinestral Technologies",-0.02903585
"Kinetech Power Company",0
"King Electric Vehicles",0
"KINO",0.04291352
"Kiverdi",0
"KJ BIOSCIENCES",0
"KLA-Tencor",0.0428739590106157
"Kobe Steel Limited",0.148178569183502
"Koch Biological Solutions",0
"Kodak Alaris",0.013357582173913
"KOLO TECHNOLOGIES",0.07269078
"KOLON INDUSTRIES",0.048221118647343
"Korea Kumho Petrochemical Co",0.188151830384615
"KR Design House",0
"Kraton Polymers US",0.0332117982119205
"Kronos",0.0755264451020408
"KS CO",0.0142118924444444
"kSep Systems",0
"KT",0.0796135597671233
"KUBIX",0.0251572333333333
"Kulite Semiconductor Products",0.109507301367781
"Kureha",0.0410276270535714
"KYOCERA DOCUMENT SOLUTIONS",0.0638779497154989
"L-3 Communications Cincinnati Electronics",-0.00583239235294118
"Lake Lite",0.333333333333333
"Lam Research",0.0321928584421978
"Landauer",0.00500435617021277
"Laserline Mfg",-0.02048114
"LATITUDE PHARMACEUTICALS",0
"Lattice Semiconductor",0.0524169218990826
"LAVA ENERGY SYSTEMS",0
"Lawrence Livermore National Security",0.0284859247923497
"Lehigh Technologies",0.094197
"Lextar Electronics Corp",0.0625419612134831
"LG Bionano",0
"LG Display Co",0.128558939036456
"LG Electronics",0.0882810714718519
"LG NANOH2O",0
"LGS Innovations",0.102575623076923
"Life Technologies",0.0268452640481481
