firm_name,url,li_emps,median_gw_emps,emp_diff,max_emps,size_state,state_diff,base_domain,subsidiary_adjust
Biogenic Reagents Ventures,biogenicreagents.com/,,,,,FirmSize.UNDEFINED,0,biogenicreagents.com,0
Biological Dynamics,biologicaldynamics.com/,34.0,,,34.0,FirmSize.SMALL_FIRM,2,biologicaldynamics.com,0
BioNano Genomics,bionanogenomics.com/,88.0,65.0,23.0,88.0,FirmSize.EU_MEDIUM_FIRM,0,bionanogenomics.com,0
Biosense Webster (Israel) Ltd.,biosensewebster.com/,2294.0,150.0,2144.0,2294.0,FirmSize.LARGE_FIRM,2,biosensewebster.com,0
bioTheranostics,biotheranostics.com/,88.0,,,88.0,FirmSize.EU_MEDIUM_FIRM,3,biotheranostics.com,0
Biotta LLC,biottajuices.com/,28.0,,,28.0,FirmSize.SMALL_FIRM,2,biottajuices.com,0
Cleanvantage LLC,biovantage.dk/,,,,,FirmSize.UNDEFINED,0,biovantage.dk,0
Bird-B-Gone,birdbgone.com/,19.0,,,19.0,FirmSize.SMALL_FIRM,2,birdbgone.com,0
Bisco,biscoind.com/,3.0,195.0,192.0,195.0,FirmSize.EU_MEDIUM_FIRM,2,biscoind.com,0
Bitrode Corporation,bitrode.com/,65.0,,,65.0,FirmSize.EU_MEDIUM_FIRM,3,bitrode.com,0
BlackBerry Limited,blackberry.com/,3910.0,3666.0,244.0,3910.0,FirmSize.LARGE_FIRM,0,blackberry.com,0
Ethox Chemicals,blog.ethox.com/,73.0,,,73.0,FirmSize.EU_MEDIUM_FIRM,3,blog.ethox.com,0
Blue Sea Systems,bluesea.com/,44.0,11.0,33.0,44.0,FirmSize.SMALL_FIRM,0,bluesea.com,0
NANOBIO CORPORATION,bluewillow.com/,33.0,,,33.0,FirmSize.SMALL_FIRM,2,bluewillow.com,0
Bristol-Myers Squibb Company,bms.com/,29587.0,,,29587.0,FirmSize.LARGE_FIRM,5,bms.com,0
Boehringer Ingelheim International GmbH,boehringer-ingelheim.com/,36263.0,1300.0,34963.0,36263.0,FirmSize.LARGE_FIRM,0,boehringer-ingelheim.com,0
The Boeing Company,boeing.com/,2752.0,,,2752.0,FirmSize.LARGE_FIRM,5,boeing.com,0
Robert Bosch GmbH,bosch.com/,2483.0,200282.5,197799.5,200282.5,FirmSize.LARGE_FIRM,0,bosch.com,0
Bostik,bostik.com/us/,15.0,2950.0,2935.0,2950.0,FirmSize.LARGE_FIRM,3,bostik.com,0
Boston Scientific Scimed,bostonscientific.com/en-US/Home.html,29785.0,29000.0,785.0,29785.0,FirmSize.LARGE_FIRM,0,bostonscientific.com,0
BP Corporation North America Inc.,bp.com/en_us/bp-us.html,76.0,1900.0,1824.0,1900.0,FirmSize.LARGE_FIRM,2,bp.com,0
Braun Intertec Geothermal,braunintertec.com/,796.0,,,796.0,FirmSize.LARGE_FIRM,5,braunintertec.com,0
