"firm","lookup_firm","lookup_firm_web","hit_url","nano","green","synbio","count_all_ind","max_emps","size_state","sme","pages","num_words","avg_words_per_page","year.min.p..date...","num_patents_all","num_patents_3","mean_assignees_all","mean_assignees_3","mean_inventors_all","mean_inventors_3","patent_pattern","rd_pattern","product_pattern","trial_pattern","demo_pattern","manufacturing_pattern","venture_pattern","investment_pattern","university_pattern","partnership_pattern","greenness_pattern","customization_pattern","awards_pattern","membership_pattern","customer_pattern","about_gen.count","about_exact.count","default_to_home","mean_i2017y","mean_cd2017y"
"SUMITOMO WIRING SYSTEMS","SUMITOMO WIRING SYSTEMS","SUMITOMO WIRING SYSTEMS","sws.co.jp/en/",1,0,0,1,29574,"FirmSize.LARGE_FIRM",0,33,128137,3882.93939393939,1987,3184,1,1.51162060301508,1,2.1608040201005,2,0,9,2,0,1,6,0,0,0,4,6,6,0,2,5,5,2,0,5.85602094240838,0.0745994581806283
"Sun Chemical Corporation","Sun Chemical","Sun Chemical","sunchemical.com/",1,1,1,3,19350,"FirmSize.LARGE_FIRM",0,100,1175448,11754.48,1976,394,3,1.00507614213198,1,2.80456852791878,7.66666666666667,4,16,13,12,6,29,3,0,0,3,23,27,1,5,21,8,3,0,6.9020618556701,0.177503890438144
"Sun Drilling Products Corporation","Sun Drilling Products","Sun Drilling Products","sundrilling.com/",1,0,0,1,33,"FirmSize.SMALL_FIRM",1,32,238887,7465.21875,1986,37,4,1,1,1.35135135135135,1,1,0,0,1,1,3,0,1,0,0,0,0,0,0,1,1,1,0,9.27777777777778,0.0782184416666667
"Sun Synchrony","Sun Synchrony","Sun Synchrony","sunsynchrony.com/",0,1,0,1,16000,"FirmSize.LARGE_FIRM",0,6,4446,741,2012,3,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1.33333333333333,0
"Suncore Photovoltaics","Suncore Photovoltaics","Suncore Photovoltaics","suncoreus.com/",0,1,0,1,13,"FirmSize.SMALL_FIRM",1,14,99781,7127.21428571429,2013,23,2,1,1,2.91304347826087,6,3,23,2,3,2,24,1,0,7,4,10,7,0,0,8,4,1,0,1.27777777777778,-0.00152165944444444
"SunCulture Solar Inc.","SunCulture Solar","SunCulture Solar","solpad.com/",0,1,0,1,57,"FirmSize.EU_MEDIUM_FIRM",1,5,22057,4411.4,2016,2,2,1,1,1,1,0,0,1,0,0,2,0,0,0,1,5,0,1,0,6,2,1,0,0.5,0.5
"Sundrop Fuels","Sundrop Fuels","Sundrop Fuels","sundropfuels.com/",0,1,0,1,24,"FirmSize.SMALL_FIRM",1,13,62307,4792.84615384615,2013,14,2,1,1,4,2.5,1,24,1,7,6,54,2,9,13,11,15,0,2,5,0,4,1,0,1.57142857142857,-0.00619658285714286
"SunEdison","SunEdison","SunEdison","sunedison.com/",0,1,0,1,7280,"FirmSize.LARGE_FIRM",0,5,11790,2358,2014,32,1,1,1,2.4375,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0.1875,-0.004244125
"SunEdison Semiconductor Limited","SunEdison Semiconductor Limited","SunEdison Semiconductor Limited","gw-semi.com/",1,0,0,1,4400,"FirmSize.LARGE_FIRM",0,9,218239,24248.7777777778,2014,39,4,1.07692307692308,1.5,2.48717948717949,2.25,0,1,2,4,0,29,0,0,0,5,0,5,3,0,4,2,2,0,0.58974358974359,0.0387889797435897
"Sungevity Inc.","Sungevity","Sungevity","sungevity.com/",0,1,0,1,400,"FirmSize.US_MEDIUM_FIRM",1,20,532514,26625.7,2013,2,1,1,1,3,3,0,0,0,0,0,2,1,1,0,1,0,5,0,0,3,3,1,0,10,-0.01960785
"Sunlight Photonics Inc.","Sunlight Photonics","Sunlight Photonics","sunlightphotonics.com/",0,1,0,1,6,"FirmSize.MICRO_FIRM",1,13,46037,3541.30769230769,2010,33,3,1,1,2.93939393939394,2.66666666666667,6,12,2,0,1,11,2,5,6,0,1,1,1,1,1,3,1,0,4.18181818181818,0.0124799345454545
"SunLink Corporation","SunLink","SunLink","sunlink.com/",0,1,0,1,84,"FirmSize.EU_MEDIUM_FIRM",1,10,69602,6960.2,2003,17,1,1,1,3.47058823529412,2,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,2,1,0,5.875,0.02234696625
"SunPower Corporation","SunPower","SunPower","us.sunpower.com/",0,1,0,1,7306,"FirmSize.LARGE_FIRM",0,36,241657,6712.69444444444,1992,399,85,1.03508771929825,1.04705882352941,2.96992481203007,3.16470588235294,5,18,8,3,0,26,11,16,20,5,16,3,10,7,3,6,2,0,6.62982005141388,0.0288426238046272
"SunRun","SunRun","SunRun","sunrun.com/",0,1,0,1,2722,"FirmSize.LARGE_FIRM",0,1,16515,16515,2015,1,1,1,1,2,2,0,3,12,2,3,6,6,9,5,5,15,10,2,5,17,4,1,1,0,0
"Sunrun South LLC","Sunrun South","Sunrun South","sunrun.com/",0,1,0,1,2722,"FirmSize.LARGE_FIRM",0,NA,NA,NA,2014,9,1,1,1,1.33333333333333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22222222222222,0.00322061111111111
"SUNSALUTER","SUNSALUTER","SUNSALUTER","sunsaluter.org/",0,1,0,1,4,"FirmSize.MICRO_FIRM",1,7,21327,3046.71428571429,2016,1,1,1,1,1,1,0,11,1,0,0,10,0,3,13,4,10,0,2,7,0,3,1,0,0,0
"Supremex Inc.","Supremex","Supremex","supremex.com/",0,1,0,1,249,"FirmSize.EU_MEDIUM_FIRM",1,76,534009,7026.43421052632,1993,4,1,1,1,1.75,3,0,2,12,1,3,13,0,5,5,1,2,6,0,1,2,8,4,0,6.33333333333333,-0.052209
"Surebeam Corporation","Surebeam","Surebeam","smebeam.com/",0,1,0,1,130,"FirmSize.EU_MEDIUM_FIRM",1,5,11051,2210.2,1984,95,1,1.01052631578947,1,2.58947368421053,1,0,0,1,0,0,8,0,5,0,0,0,0,0,0,0,2,1,0,12.0243902439024,0.0348530103658537
"Sustainable Technologies","Sustainable Technologies","Sustainable Technologies","sustech.cc/wordpress/",0,1,0,1,29,"FirmSize.SMALL_FIRM",1,26,95369,3668.03846153846,2015,3,1,1,1,3.66666666666667,4,0,1,1,1,1,4,0,0,0,3,2,0,2,0,2,2,1,0,2.33333333333333,-0.00640037333333333
"Swagelok Company","Swagelok Company","Swagelok Company","swagelok.com/",1,0,0,1,4800,"FirmSize.LARGE_FIRM",0,NA,NA,NA,1978,141,1,1,1,3.52482269503546,3,1,19,63,13,11,132,15,23,29,39,4,143,10,28,144,44,13,0,8.61764705882353,0.00798085595588235
"Sweetwater Energy","Sweetwater Energy","Sweetwater Energy","sweetwater.us/",0,1,0,1,29,"FirmSize.SMALL_FIRM",1,9,76215,8468.33333333333,2012,6,1,1,1,1.66666666666667,2,4,0,0,4,2,7,1,3,0,5,2,0,0,0,0,4,1,0,2.83333333333333,-0.00611695333333333
"Swift Engineering","Swift Engineering","Swift Engineering","swiftengineering.com/",0,1,0,1,107,"FirmSize.EU_MEDIUM_FIRM",1,10,69798,6979.8,2005,4,1,1,1,3.5,1,1,2,1,0,0,14,0,0,0,3,0,1,5,1,1,3,2,0,2.5,-0.0555555
"Symantec Corporation","Symantec","Symantec","symantec.com/",0,0,1,1,24923,"FirmSize.LARGE_FIRM",0,180,6308749,35048.6055555556,1989,2651,1,1.00377216144851,1,2.13428894756696,3,7,107,36,29,38,70,10,19,32,93,8,43,19,13,55,21,2,0,9.38805970149254,0.14248801790333
"Synaptic Research","Synaptic Research","Synaptic Research","research.synaptic.co.uk/",0,1,0,1,1763,"FirmSize.LARGE_FIRM",0,3,21502,7167.33333333333,2009,12,1,1.16666666666667,2,2.66666666666667,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.33333333333333,0.181721083333333
"Syngenta Participations AG","Syngenta Participations AG","Syngenta Participations AG","syngenta.com/",0,0,1,1,27810,"FirmSize.LARGE_FIRM",0,134,2201034,16425.6268656716,2001,1036,6,1.03378378378378,1.33333333333333,2.49903474903475,3.33333333333333,48,169,99,43,59,184,23,45,50,246,224,67,14,81,61,72,12,0,1.38002059732235,0.107861969760041
"Synopsys","Synopsys","Synopsys","synopsys.com/",1,0,0,1,8148,"FirmSize.LARGE_FIRM",0,223,7255013,32533.6905829596,1994,1513,3,1.02313284864508,1,2.63317911434237,2,0,47,51,43,58,140,30,26,36,92,2,57,23,15,38,40,4,0,10.1145695364238,0.0644963337748344
