,Unnamed: 0,firm_name,url,li_emps,median_gw_emps,emp_diff,max_emps,size_state,state_diff,base_domain,subsidiary_adjust,clnd_name_x,fg500_match,clnd_fg500,rank,name,emps,clnd_name_y
113,963,Rockwell Automation Technologies,rockwellautomation.com/site-selection.html,447.0,22000.0,21553.0,22000.0,FirmSize.LARGE_FIRM,1,rockwellautomation.com,0,Rockwell Automation,Rockwell Automation,Rockwell Automation,452,Rockwell Automation,"23,000",Rockwell Automation
114,260,Conoco Inc.,conoco.com/,21586.0,20000.0,1586.0,21586.0,FirmSize.LARGE_FIRM,0,conoco.com,0,Conoco,ConocoPhillips,ConocoPhillips,86,ConocoPhillips,"10,800",ConocoPhillips
115,29,Adobe Systems Incorporated,adobe.com/,21046.0,17973.0,3073.0,21046.0,FirmSize.LARGE_FIRM,0,adobe.com,0,Adobe Systems,Adobe,Adobe,339,Adobe,"21,357",Adobe
116,865,Parker-Hannifin Corporation,parker.com/,19843.0,,,19843.0,FirmSize.LARGE_FIRM,5,parker.com,0,Parker-Hannifin,Parker-Hannifin,Parker-Hannifin,218,Parker-Hannifin,"57,170",Parker-Hannifin
117,978,Samsung SDI Co.,samsungsdi.com/,144.0,19827.5,19683.5,9431.0,FirmSize.LARGE_FIRM,2,samsungsdi.com,0,Samsung SDI Co,Samsung CT,Samsung CT,444,Samsung C&T,"17,274",Samsung CT
118,1094,Sun Chemical Corporation,sunchemical.com/,4313.0,19350.0,15037.0,19350.0,FirmSize.LARGE_FIRM,0,sunchemical.com,0,Sun Chemical,Eastman Chemical,Eastman Chemical,313,Eastman Chemical,"14,595",Eastman Chemical
119,382,ENI S.p.A.,eni.com/en_IT/home.page,30.0,5172.0,5142.0,5172.0,FirmSize.LARGE_FIRM,3,eni.com,1,ENI SpA,ENI,ENI,83,ENI,"31,701",ENI
121,92,Applied Materials,appliedmaterials.com/,4.0,18400.0,18396.0,11027.0,FirmSize.LARGE_FIRM,4,appliedmaterials.com,1,Applied Materials,Applied Materials,Applied Materials,182,Applied Materials,"21,000",Applied Materials
124,687,Markel Corporation,markelcorp.com/,2385.0,15600.0,13215.0,15600.0,FirmSize.LARGE_FIRM,0,markelcorp.com,0,Markel,Markel,Markel,441,Markel,"17,400",Markel
125,80,Analog Devices,analog.com/en/index.html,10540.0,15300.0,4760.0,10540.0,FirmSize.LARGE_FIRM,0,analog.com,0,Analog Devices,Analog Devices,Analog Devices,472,Analog Devices,"15,800",Analog Devices
126,48,AIR PRODUCTS AND CHEMICALS,airproducts.com/,11335.0,15225.0,3890.0,15150.0,FirmSize.LARGE_FIRM,0,airproducts.com,0,AIR PRODUCTS AND CHEMICALS,Air Products & Chemicals,Air Products  Chemicals,344,Air Products & Chemicals,"16,150",Air Products  Chemicals
128,1017,Pansonic Corporation,shop.panasonic.com/,13084.0,9992.5,3091.5,13084.0,FirmSize.LARGE_FIRM,0,shop.panasonic.com,0,Pansonic,Panasonic,Panasonic,131,Panasonic,"271,869",Panasonic
129,775,NetApp,netapp.com/us/index.aspx,11816.0,10100.0,1716.0,11816.0,FirmSize.LARGE_FIRM,0,netapp.com,0,NetApp,NetApp,NetApp,483,NetApp,"10,300",NetApp
130,826,Nvidia Corporation,nvidia.com/page/home.html,4.0,11528.0,11524.0,11528.0,FirmSize.LARGE_FIRM,4,nvidia.com,0,Nvidia,Nvidia,Nvidia,268,Nvidia,"13,277",Nvidia
133,449,Gilead Sciences,gilead.com/,11289.0,10000.0,1289.0,11289.0,FirmSize.LARGE_FIRM,0,gilead.com,0,Gilead Sciences,Gilead Sciences,Gilead Sciences,139,Gilead Sciences,"11,000",Gilead Sciences
135,313,Denso Corporation,denso.com/global/en/,10728.0,9952.0,776.0,10728.0,FirmSize.LARGE_FIRM,0,denso.com,0,Denso,Denso,Denso,230,Denso,"171,992",Denso
136,635,Lam Research Corporation,lamresearch.com/,8135.0,9400.0,1265.0,9400.0,FirmSize.LARGE_FIRM,0,lamresearch.com,1,Lam Research,Lam Research,Lam Research,287,Lam Research,"10,900",Lam Research
137,932,Dell Software Inc.,quest.com,8988.0,,,8988.0,FirmSize.LARGE_FIRM,5,quest.com,0,Dell Software,Dell Technologies,Dell,34,Dell Technologies,"157,000",Dell
138,482,GlaxoSmithKline Biologicals,gsk.com/,26.0,8815.0,8789.0,8815.0,FirmSize.LARGE_FIRM,3,gsk.com,0,GlaxoSmithKline Biologicals,GlaxoSmithKline,GlaxoSmithKline,296,GlaxoSmithKline,"95,490",GlaxoSmithKline
139,942,Regeneron Pharmaceuticals,regeneron.com/,7976.0,6200.0,1776.0,7976.0,FirmSize.LARGE_FIRM,0,regeneron.com,0,Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,450,Regeneron Pharmaceuticals,"7,400",Regeneron Pharmaceuticals
140,221,Celanese Corporation,celanese.com/,,7592.0,,7592.0,FirmSize.LARGE_FIRM,5,celanese.com,1,Celanese,Celanese,Celanese,426,Celanese,"7,684",Celanese
142,1098,SunEdison,sunedison.com/,866.0,7280.0,6414.0,7280.0,FirmSize.LARGE_FIRM,0,sunedison.com,0,SunEdison,Edison,Edison,255,Edison International,"12,574",Edison
