ACACIA RESEARCH GROUP LLC,acaciaresearch.com/
540 Grid Solutions,
ALF OPERATING PARTNERS,
AMO Wavefront Sciences,
Aadigen,
Advanced Cardiovascular Systems,
Advanced Technology Materials,
Amazon Technologies,
Anterios,
Applied NanoStructured Solutions,
Avello Bioenery,
AxioMx,
BHA Technologies,
BIND Therapeutics,
Bechtel Hydrocarbon Technology Solutions,
Beijing BOE Display Technology Co.,
Biozoom Technologies,
CA,
CPT IP Holdings,
California Industrial Facilities Resources,
Cardiac Pacemakers,
Cheil Industries,
Component Re-Engineering Company,
DCG SYSTEMS,
DPD,
Deep Well Power,
Dogwood Pharmaceuticals,
Dongbu Hitek Co.,
ENERGY ENGINEERING SYSTEMS,
Elcriton,
Facebook,
GEOTHERMAL ENERGY PROJECT,
GM Global Technology Operations,
Genia Technologies,
GeoSynFuels,
Gilead Biologics,
Haier US Appliance Solutions,
Handylab,
IBC Pharmaceuticals,
Immunopath Profile,
Industrial Solar Heating Systems,
Innovalight,
Joule Unlimited Technologies,
KAI Pharmaceuticals,
LAVA ENERGY SYSTEMS,
Ma-West,
Mallinckrodt,
Matrix Odyssey,
Medtronic Vascular,
Nant Holdings IP,
Ovonic Battery Company,
Planet ATE,
QUSWAMI,
Roho,
Samsung Corning Precision Materials Co.,
Samsung Electro-Mechanics Co.,
Shenzhen China Star Optoelectronics Technology Co.,
Shubin,
Sigmatel,
Simple Approach Systems,
SonoGene,
Sophoro Biotechnologies,
Synthezyme,
THE SWEET LIVING GROUP,
Taxon Biosciences,
Tekkware,
Tensor,
TetraSun,
Therapeutic Proteins International,
Twitter,
VALTED,
Varian Semiconductor Equipment Associates,
Ventana Medical Systems,
adaptiveARC,
kSep Systems,
646840 Alberta Ltd.,
AAC Technologies Pte. Ltd.,
ABL IP Holding LLC,
AMERICAN BIO ENERGY CONVERTING CORP.,
ATI Technologies ULC,
AZ Electronic Materials (Luxembourg) S.A.R.L.,
Aerosol Dynamics Inc.,
Aneeve LLC,
Anlinx,
Asahi Kasei Kabushiki Kaisha,
Avago Technologies General IP (Singapore) Pte. Ltd.,
Avant Garde Therapeutics & Technologies LLC,
BCE Inc.,
BTPATENT LLC,
Bakersun,
Bosch Energy Storage Solutions LLC,
Boston Scientific Neuromodulation Corporation,
Brother Kogyo Kabushiki Kaisha,
CPC International Inc.,
Chiron Corporation,
Covidien LP,
Cymatics Laboratories Corp.,
DPx Holdings B.V.,
ELC Management LLC,
ENERGY INDEPENDENCE OF AMERICA CORP.,
Embro Corporation,
Exatec LLC,
Excelsior Nanotech Corporation,
Ferric Inc.,
GOOGLE TECHNOLOGY HOLDINGS LLC,
Gula Consulting Limited Liability Company,
Intercontinental Great Brands LLC,
Kabushiki Kaisha Eighting,
Kansei Corporation ,
Kawasaki Jukogyo Kabushiki Kaisha,
Mintera Corporation,
Monarch Power Corp,
NANOPHARMACEUTICALS LLC,
Nanao Corporation,
Nanostatics Corporation,
Panasonic Intellectual Property Corporation of America,
Pelican Imaging Corporation,
Philip Morris USA Inc.,
RINAT NEUROSCIENCE CORP.,
ROM Corporation,
Renewable Opportunities Inc.,
Rosemount Aerospace Inc. ,
SHOW ME ENERGY,
Santoku Corporation,
Semiconductor Manufacturing International (Shanghai) Corporation,
Semileds Optoelectronics Co.,
Sharp Kabushiki Kaisha,
Solaris Holdings Limited,
TIME WARNER CABLE ENTERPRISES LLC,
TRITON MICROTECHNOLOGIES,
The Gates Corporation,
Thermorefinery Technologies Inc.,
Thermoretinary Technologies Inc.,
Toshiba Tec Kabushiki Kaisha,
U.S. Smokeless Tobacco Company LLC,
Volterra Semiconductor LLC,
